ID,Original,Firma,Zusatz,Straße,PLZ,Stadt,Land
18742,"NTTCable Europe SA
Op Tomm 5-7
L-5485 Wormeldange - Haut",NTTCable Europe SA,,Op Tomm 5-7,5485,Wormeldange - Haut,LU
18529,"S-Markt & Mehrwert GmbH & Co. KG
Grenzstraße 21
06112 Halle / Saale",S-Markt & Mehrwert GmbH & Co. KG,,Grenzstraße 21,6112,Halle / Saale,DE
18551,"ANEXIA® Internetdienstleistungs GmbH
Feldkirchner Straße 140
A - 9020 Klagenfurt am Wörthersee",ANEXIA® Internetdienstleistungs GmbH,,Feldkirchner Straße 140,9020,Klagenfurt am Wörthersee,AT
17055,"medneo GmbH
Hausvogteiplatz 12
10117 Berlin",medneo GmbH,,Hausvogteiplatz 12,10117,Berlin,DE
18677,"medneo GmbH
Hausvogteiplatz 12
10117 Berlin",medneo GmbH,,Hausvogteiplatz 12,10117,Berlin,DE
18023,"Go-Ahead Baden-Württemberg GmbH
c/o Go-Ahead Verkehrsgesellschaft D. GmbH
-Buchhaltung- 
Zehdenicker Strasse 1
10119 Berlin
",Go-Ahead Baden-Württemberg GmbH,"c/o Go-Ahead Verkehrsgesellschaft D. GmbH
-Buchhaltung-",Zehdenicker Strasse 1,10119,Berlin,DE
17225,"ES EnviroSustain GmbH
z.Hd. Frau Dr. Memminger-Rieve
Neue Grünstraße 17/18 (Mindyard) 
Hof 1, Treppenhaus 3
10179 Berlin",ES EnviroSustain GmbH,"z.Hd. Frau Dr. Memminger-Rieve
Neue Grünstraße 17/18 (Mindyard)",Hof 1 Treppenhaus 3,10179,Berlin,DE
16966,"MEDIADESIGN HOCHSCHULE FÜR DESIGN UND INFORMATIK GMBH
Franklinstraße 28-29
10587 Berlin",MEDIADESIGN HOCHSCHULE FÜR DESIGN UND INFORMATIK GMBH,,Franklinstraße 28-29,10587,Berlin,DE
17331,"4flow AG
Hallerstrasse 1
10587 Berlin",4flow AG,,Hallerstrasse 1,10587,Berlin,DE
18246,"Capgemini Deutschland Holding GmbH
Purchase Order No.: 2001544333
Potsdamer Platz 5
10785 Berlin",Capgemini Deutschland Holding GmbH,Purchase Order No.: 2001544333,Potsdamer Platz 5,10785,Berlin,DE
17067,"RISE FX GmbH
Schlesische Strasse 28
10997 Berlin",RISE FX GmbH,,Schlesische Strasse 28,10997,Berlin,DE
18754,"Campus, Networks & Events GmbH
Am Studio 2a
12489 Berlin","Campus, Networks & Events GmbH",,Am Studio 2a,12489,Berlin,DE
18764,"M1 Med Beauty Berlin GmbH
Grünauer Straße 5
12557 Berlin",M1 Med Beauty Berlin GmbH,,Grünauer Straße 5,12557,Berlin,DE
18406,"MTS Systems (Germany) GmbH
Hohentwielsteig 3
14163 Berlin",MTS Systems (Germany) GmbH,,Hohentwielsteig 3,14163,Berlin,DE
16924,"Günther Holding SE
Steinhöft 11
20459 Hamburg",Günther Holding SE,,Steinhöft 11,20459,Hamburg,DE
17374,"IP Dynamics GmbH
Buchhaltung
Billstr. 103
20539 Hamburg",IP Dynamics GmbH,Buchhaltung,Billstr. 103,20539,Hamburg,DE
17113,"ROQQIO GmbH
Harburger Schloßstr. 28
21079 Hamburg",ROQQIO GmbH,,Harburger Schloßstr. 28,21079,Hamburg,DE
18472,"svt Holding GmbH
Glüsinger Straße 86
21217 Seevetal",svt Holding GmbH,,Glüsinger Straße 86,21217,Seevetal,DE
17936,"BEP EUROPE GMBH
Magdeburger Straße 9A
30880 Laatzen",BEP EUROPE GMBH,,Magdeburger Straße 9A,30880,Laatzen,DE
16856,"Maritim Hotelgesellschaft mbH
Abteilung Telekommunikation
Herforder Straße 2
32105 Bad Salzuflen",Maritim Hotelgesellschaft mbH,Abteilung Telekommunikation,Herforder Straße 2,32105,Bad Salzuflen,DE
17360,"WAGO Kontakttechnik GmbH & Co. KG
Hansastr. 27
32423 Minden",WAGO Kontakttechnik GmbH & Co. KG,,Hansastr. 27,32423,Minden,DE
18314,"ERIKS Deutschland GmbH
Kreisheide 7
33790 Halle (Westf.)",ERIKS Deutschland GmbH,,Kreisheide 7,33790,Halle (Westf.),DE
17244,"RSE Planungsgesellschaft mbH
Heinrich-Hertz-Straße 1
34123 Kassel",RSE Planungsgesellschaft mbH,,Heinrich-Hertz-Straße 1,34123,Kassel,DE
18576,"Riedel Networks GmbH & Co. KG
Schlossstraße 10
35510 Butzbach",Riedel Networks GmbH & Co. KG,,Schlossstraße 10,35510,Butzbach,DE
17174,"TELCAT MULTICOM GmbH
Sudetenstraße 10
38239 Salzgitter
",TELCAT MULTICOM GmbH,,Sudetenstraße 10,38239,Salzgitter,DE
