account-name,posten-id,posten-ersatz,posten-laufzeit,posten-verlängerung,posten-Kündigungsfrist,posten-beginn,posten-ende,posten-status,posten-preis-mrc,posten-preis-nrc,posten-name,posten-beschreibung,AltePostenIDExcel_DC1_REF,Gnom_ID,Netz,GW Kommentar
20028,100000,n/a,1,1,2,01.01.2021,31.12.2021,ausgelaufen-posten_ist_ausgelaufen," 20,00 € "," 50,00 € ",IP_27,"Öffentliches /27 IPv4 Netz, 30 Nutzbare Adressen",100000_11941,G-1C7S1PRO,94.186.150.192/27,"Keinen korrespondierender DC1 Vertragsposten vorhanden, Vertrag zum 31.12. ausgelaufen kann deprovisioniert werden?"
20028,100001,n/a,1,1,2,01.05.2022,,aktiv," 70,00 € "," 50,00 € ",IP_25,"Öffentliches /25 IPv4 Netz, 126 Nutzbare Adressen",100001_11948,G-BQX4FRE8,94.186.147.0/25,Keinen korrespondierender DC1 Vertragsposten vorhanden
20028,100002,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100002_11948,None,94.186.167.72/29,Keinen korrespondierender DC1 Vertragsposten vorhanden
20028,100005,n/a,1,1,2,01.05.2022,,aktiv," 20,00 € "," 50,00 € ",IP_27,"Öffentliches /27 IPv4 Netz, 30 Nutzbare Adressen",100005_11957_V124626_P55392,None,94.186.231.64/27,
20028,100233,n/a,1,1,2,01.03.2022,,in Produktion," 450,00 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Birkenwaldstrasse 44, 70191 Stuttgart B-Ende: Augsburger Strasse 722, 70329 Stuttgart, Bandwidth: 10000 Mbit/s",100233_12936_V125883_P63253,,,Keine Doku zu 10G?
20028,100006,n/a,1,1,2,01.05.2022,,aktiv," 40,00 € "," 50,00 € ",IP_26,"Öffentliches /26 IPv4 Netz, 62 Nutzbare Adressen",100006_11957,G-JBC2MH8B,94.186.148.0/26,Keinen korrespondierender DC1 Vertragsposten vorhanden
20028,100007,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100007_11957,G-IQA18BVB,94.186.154.176/29,Keinen korrespondierender DC1 Vertragsposten vorhanden
20028,100008,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100008_11957,None,94.186.206.232/29,"Keinen korrespondierender DC1 Vertragsposten vorhanden, Netz im Gnom zugewiesen, Referenz auf Stadthalle Reutlingen?"
20028,100009,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100009_11957,None,94.186.206.240/29,"Keinen korrespondierender DC1 Vertragsposten vorhanden, Netz im Gnom zugewiesen, Referenz auf Stadthalle Reutlingen?"
20028,100019,n/a,1,1,2,01.05.2022,,aktiv," 190,87 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen Side-A (Büro): Dorotheenstr. 10, 70173 Stuttgart Side-B (Haupthaus): Marktstr. 1 - 3, 70173 Stuttgart Port-Specification: 10.000 Mbit/s 10Gbase-SR (850nm Multimode 10Gbit) Max. Bandwidth: 10.000 Mbit/s Fullduplex Wegeführung über Charlottenplatz, Haltestelle Rathaus, Fußgänger Unterführung, Marktstr.",100019_12154_V5156_P10532,G-FFHGENSS,None,
20028,100234,n/a,1,1,2,01.03.2022,,in Produktion," 567,62 € "," 1.650,00 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Daimlerstrasse 9, 70839 Gerlingen B-Ende: Birkenwaldstrasse 44, 70191 Stuttgart, Bandwidth: 10000 Mbit/s",100234_12936_V125883_P63254,,,Keine Doku zu 10G?
20028,100235,n/a,1,1,2,01.03.2022,,in Produktion," 567,62 € "," 1.650,00 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Daimlerstrasse 9, 70839 Gerlingen B-Ende: Gropiusplatz 10, 70563 Stuttgart, Bandwidth: 10000 Mbit/s",100235_12936_V125883_P63255,,,Keine Doku zu 10G?
20028,100236,n/a,1,1,2,01.03.2022,,in Produktion," 450,00 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Birkenwaldstrasse 44, 70191 Stuttgart B-Ende: Gropiusplatz 10, 70563 Stuttgart, Bandwidth: 10000 Mbit/s",100236_12936_V125883_P63256,,,Keine Doku zu 10G?
20028,100241,n/a,1,1,2,01.03.2022,,in Produktion," 795,00 € "," 1.500,00 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Hölderlinstraße 3a, 70174 Stuttgart B-Ende: Gropiusplatz 10, 70563 Stuttgart, Bandwidth: 1000 Mbit/s",100241_12936_V126472_P64259,,,
20028,100644,n/a,1,1,2,01.01.2022,,in Produktion," 851,55 € "," 2.200,00 € ",MetroInternet,"MetroInternet Neue Straße 95, 73230 Kirchheim/Teck-Nabern, Bandwidth: 1000 Mbit/s",100644_17387_V126246_P63803,,,
20028,100645,n/a,1,1,2,01.01.2022,,in Produktion," 20,00 € "," 50,00 € ",BF,BGP Routing mit Full Table,100645_17387_V126246_P63804,,,
20028,100646,n/a,1,1,2,01.01.2022,,in Produktion," 20,00 € "," 50,00 € ",BF,BGP Routing mit Full Table,100646_17387_V126246,,,Keinen korrespondierender DC1 Vertragsposten vorhanden
